"","...1","Target Name","Target Type","Target ID","Location ID","Cell Line","Source Name","Source Type","Source ID","Source Location","Source Location ID","Sign","Connection Type","Mechanism","Paper ID","Evidence","Evidence Score","Match Score","Kind Score","Epistemic Value","Total Score","TotalCALC"
"38",656,"p53","protein","p04637","nan","nan","pp1","protein family|protein complex","ppp1","nan","nan","negative","i","['none']","['pmc2954851']","['inhibition of pp1 , but not pp2a , with okadaic acid induced the p53 target bax and , consequently , apoptosis in rabbit lens epithelial cells [ xref_bibr ] .']",1,100,40,1,140,140
"39",239,"chk1","protein","o14757","nan","cellosaurus:cvcl_0062","wip1","protein","o15297","nan","nan","negative","d","['dephosphorylation']","['pmc2954851']","['wip1 could dephosphorylate chk1 primarily at s345 and slightly at s317 in vitro . ++++ wip1 could dephosphorylate chk1 primarily at s345 and slightly at s317 in vitro .']",1,100,40,1,140,140
"40",226,"cdk4","protein","p11802","nan","nan","p27","protein","p40305","nan","nan","negative","i","['phosphorylation']","['pmc1647274']","['at variance with previous conclusions [ xref_bibr ] , p27 does not inhibit the activity of d-type cyclin-cdk4 complexes by preventing the activating phosphorylation of cdk4 .']",1,100,40,1,140,140
"41",657,"p53","protein","p04637","nan","nan","pp1","protein family|protein complex","ppp1","nan","nan","negative","i","['none']","['pmc2954851']","['in addition to being regulated by mdm2 , p53 is also negatively regulated through direct dephosphorylation by pp1 and pp2a .']",1,100,40,1,140,140
"42",654,"p53","protein","p04637","nan","nan","iaspp","protein","q8wuf5","nan","nan","negative","i","['none']","['pmc3556166']","['iaspp and yb1 selectively inhibit the ability of p53 to induce expression of pro apoptotic genes but have no effect on p21 transactivation .']",1,100,40,1,140,140
"43",420,"hif-1alpha protein","protein","q16665","nan","cellosaurus:cvcl_0035","foxo4","protein","p98177","nan","nan","negative","i","['amount']","['pmc2652403']","['interestingly , foxo4 down-regulated the hif-1alpha protein levels , consistent with the lack of hypoxia responsiveness [ xref_bibr ] .']",1,100,40,1,140,140
"44",652,"p53","protein","p04637","nan","cellosaurus:cvcl_w397","cape","protein","o95347","nan","nan","negative","i","['none']","['pmc2206000']","['the observation that cape inhibited the activation of nf-kappa b , p90rsk , and p53 leaves 3 possible explanations as to the mode of nf-kappa b inhibition by cape . ++++ cape inhibition of p53 activation occurred several hours before nf-kappa b was observed to be activated and before nf-kappa b inhibition by cape .']",1,100,40,1,140,140
"45",418,"hif-1alpha","protein","q16665","nan","cellosaurus:cvcl_1905","p27","protein","p40305","nan","nan","negative","i","['none']","['pmc4260754']","['subsequently , we used rapamycin to interfere with mtorc1 activity and found that it reduced hif-1alpha induction in p27-/-( delta51 ) cells ( xref_fig ) , indicating that p27 inhibited hif-1alpha translation . ++++ in line with this , hif-1alpha protein synthesis detected by pulse labeling assay was markedly repressed by the introduction of ha-s6 s235/236a in p27-/-( delta51 ) cells ( xref_fig ) , suggesting that p27 inhibited hif-1alpha translation in an s6-phosphorylation-dependent manner in arsenite response . ++++ p27 inhibited hif-1alpha translation because of arsenite exposure .']",1,100,40,1,140,140
"46",406,"gsk3beta","protein","p49841","nan","uaz:cvcl_9115","pyk2","protein","q14289","nan","nan","negative","i","['phosphorylation']","['pmc4558782']","['consistent with our finding that fak and pyk2 function redundantly in phosphorylating gsk3 , despite of suppressed fak activity in fak r454 and r454 mefs , kd of pyk2 was required to inhibit gsk3beta y216 phosphorylation .']",1,100,40,1,140,140
"47",404,"gsk3beta","protein","p49841","nan","nan","apc","protein","p25054.d","nan","nan","negative","i","['phosphorylation']","['pmc4558782']","['our findings indicate that : loss of functional apc induces the expression of fak and pyk2 , elevated fak and pyk2 phosphorylates gsk3beta y216 to stabilize beta-catenin , which initiates and supports intestinal tumorigenesis ( xref_fig ) .']",1,100,40,1,140,140
"48",540,"mtorc1","protein family|protein complex","mtorc1","nan","nan","deptor","protein","q8tb45","nan","nan","negative","i","['none']","['pmc4258317']","['deptor and mlst8 are components of both mtor complexes and whereas deptor negatively regulates mtorc1 as well as mtorc2 , mlst8 is essential only for mtorc2 function [ xref_bibr , xref_bibr ] .']",1,100,40,1,140,140
"49",443,"irs","protein family","pf02174","nan","nan","shp2","protein","q06124","nan","nan","negative","i","['none']","['pmc2683723']","['intriguingly , although tyrosine phosphatase shp2 negatively regulates irs , gab1 and pi3k and akt signaling , it positively influences erk activity , which is partly explained by dephosphorylation of the specific sites involved in rasgap binding .']",1,100,40,1,140,140
"50",494,"mdm2","protein","q00987","nan","nan","wip1","protein","o15297","nan","nan","negative","d","['dephosphorylation']","['pmc2954851']","['indeed , wip1 , but not pp2a , dephosphorylated mdm2 at s395 , which is an atm phosphorylation site [ xref_bibr , xref_bibr ] .']",1,100,40,1,140,140
"51",499,"mdm2","protein","q00987","go:0005634 ++++ go:go:0005730","cellosaurus:cvcl_0030","npm","protein","p06748","other","go:0005634 ++++ go:go:0005730","negative","i","['none']","['pmc4171619']","['in order to investigate whether a npm and arf nucleoplasmic complex is responsible for inhibition of mdm2 , we performed large-scale stepwise purification of arf from hela nuclear lysates and identified a high molecular weight complex that elutes after consecutive fractionations ( ion exchange and size exclusion separation columns ) containing both npm and mdm2 in a highly purified protein fraction , indicating a strong molecular interaction between the constituents of the complex ( lower monoq fractions a11 & a12 , xref_supplementary ) . ++++ in agreement , failure to re-localize npm to the nucleoplasm prevents npm mediated inhibition of mdm2 [ xref_bibr ] . ++++ our results suggest that inhibition of mdm2 by npm and arf are not independent and respond to cellular stress via disruption of npm oligomerization . ++++ our data argues for a model whereby mdm2 is inhibited by a nucleoplasmic pool of npm associated arf .']",1,100,40,1,140,140
"52",523,"mtor","protein","p42345","nan","cellosaurus:cvcl_m034","rheb","protein","q15382","nan","nan","negative","i","['none']","['pmc4258317']","['also the phosphorylation of these sites is rather insensitive to rapamycin which could suggest that these phosphorylations are possibly mtor independent however since these phosphorylations are inhibited by amino acids starvation of cells and by mtor kinase inhibitors like wortmannin , activated by rheb ( an mtor activator ) , and are decreased in mtor knockdown cells which suggests that the phosphorylation of these n-terminal residues is mediated by mtor but through a raptor independent mechanism [ xref_bibr ] .']",1,100,40,1,140,140
"53",928,"stat3","protein","p40763","go:0005737 ++++ go:go:0042641","nan","pdgfr","protein family|protein complex","pdgfr","other","go:0005737 ++++ go:go:0042641","negative","i","['none']","['pmc3537888']","['interestingly , another pdgfr and cabl inhibitor , imatinib , has also been shown to induce sustained activation of stat3 [ xref_bibr ] . ++++ egfr signaling is known to activate rac1 [ xref_bibr ] , which also regulates actomyosin contractility and cell shape , thus egfr activated rac1 may not only support pdgfr inhibitor-iv induced cell rounding but also stat3 nuclear import .']",1,100,40,1,140,140
"54",925,"stat3","protein","p40763","go:0005634","nan","rig-i","protein","o95786","nucleus","go:0005634","negative","i","['phosphorylation']","['pmc4923948']","['the hypothesis was confirmed by the co-immunoprecipitation and immunofluorescence assays , which showed that the physical interaction between rig-i and phospho-src resulted in little or no binding between stat3 and phospho-src and that elevated rig-i inhibited the phosphorylation of stat3 and its translocation to the nucleus ( xref_fig and xref_fig ) .']",1,100,40,1,140,140
"55",924,"stat3","protein","p40763","go:0005737","nan","pdgfr","protein family|protein complex","pdgfr","cytoplasm","go:0005737","negative","i","['amount']","['pmc3537888']","['immunoblot analysis of nuclear and cytoplasmic extracts demonstrated that , compared with untreated controls , pdgfr inhibitor-iv increased the level of nuclear localized oct4 ( 2.8 +/- 0.3-fold ) , nanog ( 2.5 +/- 0.2-fold ) , and stat3 ( y705 ) ( 2.3 +/- 0.3-fold ) ( xref_fig c , 4d ) and increased the stat3 ( y705 ) nuclear and cytoplasm ratio ( 2.6 +/- 0.5-fold ) .']",1,100,40,1,140,140
"56",629,"p27 kip1","protein","p46527","nan","cellosaurus:cvcl_0102","skp2","protein","q13309","nan","nan","negative","i","['transcription']","['pmc4211374']","['when galectin-3 was overexpressed in the galectin-3-null snu-638 cells , the expression of skp2 and p27 kip1 was found to increase and decrease , respectively ; additional skp2 depletion enhanced the p27 kip1 expression ( xref_fig ) .']",1,100,40,1,140,140
"57",630,"p27 kip1","protein","p46527","nan","cellosaurus:cvcl_0102","skp2","protein","q13309.t","nan","nan","negative","i","['transcription']","['pmc4211374']","['increased p27 kip1 expression resulting from galectin-3 depletion was significantly diminished by skp2 overexpression ( xref_fig ) . ++++ overexpression of galectin-3 or skp2 induces a decrease in p27 kip1 protein expression .']",1,100,40,1,140,140
"58",631,"p27 kip1","protein","p46527","nan","nan","skp2","protein","q13309","nan","nan","negative","i","['none']","['pmc4211374']","['increased skp2 decreases the stability of p27 kip1 , thereby promoting cell cycle progression and inhibiting premature senescence ( xref_fig ) .']",1,100,40,1,140,140
"59",632,"p27 kip1","protein","p46527","nan","uaz:cvcl_9115","skp2","protein","q13309.t","nan","nan","negative","i","['transcription']","['pmc4211374']","['interestingly , downregulation of galectin-3 reduces skp2 expression and only induces p27 kip1 expression .']",1,100,40,1,140,140
"60",633,"p27 kip1","protein","p46527","go:0005634","cellosaurus:cvcl_0102","galectin-3","protein","p17931.t","nucleus","go:0005634","negative","i","['transcription']","['pmc4211374']","['overexpression of galectin-3 or skp2 induces a decrease in p27 kip1 protein expression . ++++ furthermore , the overexpression of galectin-3 increased the levels of phosphorylated rb ( ser 780 , ser 807/811 ) and skp2 , and decreased p27 kip1 expression ( xref_fig and xref_supplementary ) .']",1,100,40,1,140,140
"61",319,"erk","protein family|protein complex","erk","nan","cellosaurus:cvcl_1905","p27","protein","p40305","nan","nan","negative","i","['none']","['pmc4260754']","['to determine how p27 inhibits erk activation in arsenite response , the activation of upstream kinases , the raf and mek cascade , was compared between p27 +/+ and p27-/- cells .']",1,100,40,1,140,140
"62",640,"p38","protein family|protein complex","p38","nan","nan","smrt","protein","q9y618","nan","nan","negative","d","['dephosphorylation']","['pmc3656868']","['in particular , smrt dependent repression of the protein phosphatase wip1 , a major regulator of checkpoint response that de-phosphorylates chk2 , atm , p53 and p38 xref_bibr , is fundamental for caspase activation after dna damage by modulating the oscillatory frequency of chk2 activation .']",1,100,40,1,140,140
"63",628,"p27 kip1","protein","p46527","nan","cellosaurus:cvcl_0102","galectin-3","protein","p17931","nan","nan","negative","i","['transcription']","['pmc4211374']","['interestingly , galectin-3 depletion was accompanied by decreased skp2 and increased p27 kip1 expression .']",1,100,40,1,140,140
"64",393,"gsk3","protein family|protein complex","gsk3","nan","nan","pi3k-akt","protein family|protein complex","akt","nan","nan","negative","i","['none']","['pmc4091167']","['gsk3 activity is inhibited by the pi3k-akt pathway , a well-known regulator of nonselective autophagy .']",1,100,40,1,140,140
"65",350,"fos","protein family|protein complex","fos_family","nan","nan","smrt","protein","q9y618","nan","nan","negative","i","['none']","['pmc3656868']","['as shown in xref_fig , smrt limited cddp dependent activation of fos and ppm1d and exhibited a repressive function on smad7 , srpk2 , bcl2l11 and max , as their inhibition by cddp was lost in the cells transfected with smrt sirna .']",1,100,40,1,140,140
"66",245,"chk1","protein","o14757","nan","nan","pp1","protein family|protein complex","ppp1","nan","nan","negative","d","['dephosphorylation']","['pmc2954851']","['indeed , chk1 s345 could be dephosphorylated in vitro by dis2 or human pp1 [ xref_bibr , xref_bibr ] .']",1,100,40,1,140,140
"67",491,"mdm2","protein","q00987","nan","nan","atrx","protein","p46100","nan","nan","negative","i","['decreaseamount']","['pmc4480747']","['because atrx deficiency prevents the loss of mdm2 we hypothesize that atrx directly regulates a program that impinges on mdm2 regulation .']",1,100,40,1,140,140
"68",67,"akt1","protein","p31749","nan","nan","phlpp2","protein","q6zvd8","nan","nan","negative","d","['dephosphorylation']","['pmc3317191']","['phlpp2 dephosphorylates akt1 and akt3 , whereas phlpp1 is specific for akt2 and akt3 [ xref_bibr ] .']",1,100,40,1,140,140
"69",865,"s6","protein family","ipr000529","nan","nan","p27","protein","p40305.t","nan","nan","negative","i","['phosphorylation']","['pmc4260754']","['our findings showed that depletion of p27 expression by knockout and knockdown approaches efficiently enhanced s6 phosphorylation in arsenite response via overactivating ras/raf/mek/erk pathway , which consequently resulted in the stimulation of p90rsk ( 90kda ribosomal s6 kinase ) , a direct kinase for s6 phosphorylation .']",1,100,40,1,140,140
"70",789,"rad53","protein","o96017","nan","cellosaurus:cvcl_6353","ptc2","protein","q9y6c5","nan","nan","negative","i","['none']","['pmc2954851']","['the pp2c phosphatases ptc2 and ptc3 as well as the type 2a phosphatase pph3 have all been shown to negatively regulate rad53 under different circumstances .']",1,100,40,1,140,140
"71",790,"rad53","protein","o96017","nan","cellosaurus:cvcl_6353","ptc3","protein","p34221","nan","nan","negative","i","['none']","['pmc2954851']","['the pp2c phosphatases ptc2 and ptc3 as well as the type 2a phosphatase pph3 have all been shown to negatively regulate rad53 under different circumstances .']",1,100,40,1,140,140
"72",791,"rad53","protein","o96017","nan","nan","ptc3","protein","p34221","nan","nan","negative","i","['dephosphorylation']","['pmc2954851']","['therefore , ptc2- and ptc3 mediated dephosphorylation of rad53 results in recovery from the g2/m checkpoint .']",1,100,40,1,140,140
"73",863,"s6","protein family","ipr000529","nan","cellosaurus:cvcl_1905","p27","protein","p40305","nan","nan","negative","i","['phosphorylation']","['pmc4260754']","['akt and p70s6k pathway was not responsible for hyperphosphorylation of s6 caused by p27 depletion .']",1,100,40,1,140,140
"74",82,"arf","protein","q8n726","go:0005737","nan","npm","protein","p06748","cytoplasm","go:0005737","negative","i","['none']","['pmc4171619']","['indeed npm has been proposed to sequester arf in the nucleolus , preventing it from inhibiting mdm2 [ xref_bibr , xref_bibr ] .']",1,100,40,1,140,140
"75",84,"arf","protein","q8n726","nan","nan","bmi1","protein","p35226","nan","nan","negative","i","['transcription']","['pmc4171619']","['interestingly , akt has been demonstrated to increase arf transcription by relieving bmi1 repression of arf transcription [ xref_bibr ] and therefore provides a potent mechanism to stabilize p53 mut via the elevated transcription and nucleoplasmic localization of arf .']",1,100,40,1,140,140
"76",89,"atm","protein","q13315","nan","nan","wip1","protein","o15297.t","nan","nan","negative","i","['phosphorylation']","['pmc2954851']","['in human cells , the overexpression of wip1 decreased atm autophosphorylation and atm dependent chk2 phosphorylation after ir . ++++ in human cells , the overexpression of wip1 decreased atm autophosphorylation and atm dependent chk2 phosphorylation after ir .']",1,100,40,1,140,140
"77",110,"bcl-2","protein","p10415","nan","nan","tgf-beta","protein family|protein complex","tgfb","nan","nan","negative","i","['none']","['pmc149420']","['it cooperates with fas [ xref_bibr ] and tgf-alpha [ xref_bibr ] , down-regulates the anti-apoptotic proteins bcl-x l and bcl-2 and activates caspase-1 , -3 , -8 and -9 [ xref_bibr , xref_bibr ] .']",1,100,40,1,140,140
"78",109,"bcl-2","protein","p10415","nan","nan","creb","protein family|protein complex","creb.p","nan","nan","negative","i","['transcription']","['pmc4102778']","['bcl-2 expression is inhibited by gsk-3beta phosphorylation of creb [ xref_bibr ] .']",1,100,40,1,140,140
"79",94,"atm","protein","q13315","nan","nan","smrt","protein","q9y618","nan","nan","negative","d","['dephosphorylation']","['pmc3656868']","['in particular , smrt dependent repression of the protein phosphatase wip1 , a major regulator of checkpoint response that de-phosphorylates chk2 , atm , p53 and p38 xref_bibr , is fundamental for caspase activation after dna damage by modulating the oscillatory frequency of chk2 activation .']",1,100,40,1,140,140
"80",788,"rad53","protein","o96017","nan","cellosaurus:cvcl_6353","pp2c","protein family","pf00481","nan","nan","negative","i","['none']","['pmc2954851']","['the pp2c phosphatases ptc2 and ptc3 as well as the type 2a phosphatase pph3 have all been shown to negatively regulate rad53 under different circumstances .']",1,100,40,1,140,140
"81",779,"puma","protein","q96pg8","nan","nan","dbc1","protein","o60477","nan","nan","negative","i","['acetylation']","['pmc4245943']","['curiously , when we analyzed the role of dbc1 in chk2 induced apoptosis , we found that dbc1 depletion does not affect cell death , as previously reported , although it reduces p53 acetylation and puma induction , but not parp1 cleavage .']",1,100,40,1,140,140
"82",48,"akt","protein family|protein complex","akt","nan","nan","shp2","protein","q06124","nan","nan","negative","i","['none']","['pmc2683723']","['intriguingly , although tyrosine phosphatase shp2 negatively regulates irs , gab1 and pi3k and akt signaling , it positively influences erk activity , which is partly explained by dephosphorylation of the specific sites involved in rasgap binding .']",1,100,40,1,140,140
"83",47,"akt","protein family|protein complex","akt","nan","nan","phlpp2","protein","q6zvd8","nan","nan","negative","i","['none']","['pmc3317191']","['two isoforms , phlpp1 and phlpp2 , directly dephosphorylate ser473 and therefore inactivate akt .']",1,100,40,1,140,140
"84",46,"akt","protein family|protein complex","akt","nan","nan","phlpp1","protein","o60346","nan","nan","negative","i","['none']","['pmc3317191']","['two isoforms , phlpp1 and phlpp2 , directly dephosphorylate ser473 and therefore inactivate akt .']",1,100,40,1,140,140
"85",98,"atm","protein","q13315","sl-0276","nan","trf2","protein","p62380","other","sl-0276","negative","i","['none']","['pmc4296918']","['moreover , shelterin proteins inhibit the main ddr kinases : trf2 is a repressor of atm and chk2 , masking their activation domains , while pot1 has the same effect on atr .']",1,100,40,1,140,140
"86",646,"p53","protein","p04637","nan","cellosaurus:cvcl_0060","14-3-3","protein family","pf00244","nan","nan","positive","i","['none']","['pmc2817464']","['14-3-3 increases the transcriptional activity of p53 .']",1,100,40,1,140,140
"87",419,"hif-1alpha","protein","q16665","nan","nan","akt1","protein","p31749.t","nan","nan","positive","i","['transcription']","['pmc2652403']","['over-expression of dominant-active akt1 restored hif-1alpha expression , whereas inhibition of pi3k activity reduced hypoxic hif-1alpha protein levels [ xref_bibr ] .']",1,100,40,1,140,140
"88",301,"egfr","protein","p00533","go:0016020","cellosaurus:cvcl_s979","amphiregulin","protein","p15514","other","go:0016020","positive","i","['none']","['pmc3709701']","['src dependent y845 phosphorylation also contributes to erk and mapk activation and proliferation of normal keratinocytes , which involves amphiregulin mediated autocrine signaling of egfr [ xref_bibr ] .']",1,100,40,1,140,140
"89",193,"caspase-9","protein","p55211","go:0005739","nan","apaf-1","protein","o14727","mitochondria","go:0005739","positive","i","['none']","['pmc3039802']","['caspase-9 , a mitochondria mediated initiation caspase , is directly activated by apaf-1 and cytochrome c and triggers activation of execution caspases 3 , 6 , and 7 , leading to dna fragmentation and cell death .']",1,100,40,1,140,140
"90",296,"egfr","protein","p00533","nan","cellosaurus:cvcl_0045","arrestin1","protein","p51486","nan","nan","positive","i","['none']","['pmc4624070']","['in addition , beta-arrestin has been shown to recruit src to some gpcrs and the association of ep4 , beta , arrestin1 , and src complex has been shown to induce the activation of egfr and akt .']",1,100,40,1,140,140
"91",252,"chk2","protein","o96017","nan","nan","atr","protein","p20848","nan","nan","positive","i","['none']","['pmc2925474']","['the transducer proteins include the kinases atm and atm- and rad3 related ( atr ) ; atm and atr phosphorylates and thereby activates the checkpoint kinases chk1 and chk2 , which control hur cytoplasmic abundance and rna binding , respectively .']",1,100,40,1,140,140
"92",661,"p53","protein","p04637","nan","nan","atr","protein","p20848","nan","nan","positive","d","['phosphorylation']","['pmc2954851']","['atm , atr , and dna-pk phosphorylate p53 on s15 , while chk1 and chk2 phosphorylate p53 on s20 which stabilize p53 by preventing binding to mdm2 [ xref_bibr - xref_bibr ] .']",1,100,40,1,140,140
"93",521,"mtor","protein","p42345","nan","cellosaurus:cvcl_0031","atr","protein","p20848","nan","nan","positive","i","['none']","['pmc4381605']","['mtor is induced by etoposide in an atm and atr dependent , and p53 independent manner .']",1,100,40,1,140,140
"94",40,"akt","protein family|protein complex","akt","nan","nan","atr","protein","p20848","nan","nan","positive","d","['phosphorylation']","['pmc3317191']","['however , there is no clear evidence that atr phosphorylates akt directly in response to tmz .']",1,100,40,1,140,140
"95",41,"akt","protein family|protein complex","akt","nan","nan","atr","protein","p20848","nan","nan","positive","i","['none']","['pmc3317191']","['conversely , akt is activated by dna double-strand breaks ( dsbs ) in a dna-pk- or atm and atr dependent manner and in some circumstances can contribute to radioresistance by stimulating dna repair by nonhomologous end joining ( nhej ) .']",1,100,40,1,140,140
"96",888,"smad","protein family|protein complex","smad","go:0009986","nan","bmp","protein family","pf02608","other","go:0009986","positive","i","['none']","['pmc4347645']","['protein methylation has only recently begun to be appreciated as a regulator of cytoplasmic signal transduction in the initiation of signaling from cell surface receptors ( bmp induced smad signaling ) and wnt signaling .']",1,100,40,1,140,140
"97",218,"cdk4","protein","p11802","go:0005737","nan","cak","protein","p50613","cytoplasm","go:0005737","positive","d","['phosphorylation']","['pmc1647274']","['this might suggest that constitutive cak ( cdk7 ) complexes could not be instrumental in the regulated phosphorylation of cdk4 .']",1,100,40,1,140,140
"98",796,"raf-1","protein","p04049","go:0016020","nan","calcium/calmodulin-dependent protein kinase ii","protein","p22517","other","go:0016020","positive","d","['phosphorylation']","['pmc3660063']","['recently ras mediated raf-1 activation has been shown to be dependent on calcium/calmodulin dependent protein kinase ii ( camk-ii ) which phosphorylates raf-1 at s338 in some experimental stimulation conditions [ egf , fetal bovine serum ( fbs ) treatment ] .']",1,100,40,1,140,140
"99",797,"raf-1","protein","p04049","go:0016020","nan","camk-ii","protein family|protein complex","camk2_complex","other","go:0016020","positive","d","['phosphorylation']","['pmc3660063']","['recently ras mediated raf-1 activation has been shown to be dependent on calcium/calmodulin dependent protein kinase ii ( camk-ii ) which phosphorylates raf-1 at s338 in some experimental stimulation conditions [ egf , fetal bovine serum ( fbs ) treatment ] .']",1,100,40,1,140,140
"100",663,"p53","protein","p04637","nan","nan","ccar2","protein","q8n163.p@t454","nan","nan","positive","i","['acetylation']","['pmc4627348']","['upon dna damage , the apical checkpoint kinases atm and atr phosphorylate ccar2 on t454 , enhancing its inhibitory binding to the histone deacetylase sirt1 , promoting p53 acetylation and p53 dependent apoptosis [ xref_bibr , xref_bibr ] . ++++ upon dna damage , the apical checkpoint kinases atm and atr phosphorylate ccar2 on t454 , enhancing its inhibitory binding to the histone deacetylase sirt1 , promoting p53 acetylation and p53 dependent apoptosis [ xref_bibr , xref_bibr ] .']",1,100,40,1,140,140
